"iso3","country","index","strength"
"SOM","Somalia",-2.30753893984689,"weak"
"AFG","Afghanistan",-1.71317283974753,"weak"
"ZAR","Congo, Dem. Rep.",-1.66945366726981,"weak"
"SSD","South Sudan",-1.61623704433441,"weak"
"IRQ","Iraq",-1.58592300282584,"weak"
"ZWE","Zimbabwe",-1.54339395297898,"weak"
"MMR","Myanmar",-1.47571437888675,"weak"
"TKM","Turkmenistan",-1.47473651833004,"weak"
"VEN","Venezuela, RB",-1.46738076210022,"weak"
"CAF","Central African Republic",-1.44459280040529,"weak"
"SDN","Sudan",-1.40637754069434,"weak"
"HTI","Haiti",-1.39959774083561,"weak"
"GNQ","Equatorial Guinea",-1.37968888547685,"weak"
"AGO","Angola",-1.37055316236284,"weak"
"GNB","Guinea-Bissau",-1.36931557787789,"weak"
"TCD","Chad",-1.36864324410756,"weak"
"GIN","Guinea",-1.34509107139375,"weak"
"PRK","Korea, Dem. Rep.",-1.32572886016634,"weak"
"UZB","Uzbekistan",-1.28972420427534,"weak"
"LBR","Liberia",-1.24362312091721,"weak"
"YEM","Yemen, Rep.",-1.24165965782271,"weak"
"TJK","Tajikistan",-1.23391340838538,"weak"
"COG","Congo, Rep.",-1.22312272919549,"weak"
"BDI","Burundi",-1.19710478848881,"weak"
"NGA","Nigeria",-1.18002412054274,"weak"
"LBY","Libya",-1.14794138736195,"weak"
"CIV","Côte d'Ivoire",-1.12686746981409,"weak"
"KHM","Cambodia",-1.11903857522541,"weak"
"CMR","Cameroon",-1.11688146657414,"weak"
"ERI","Eritrea",-1.10487371351984,"weak"
"BLR","Belarus",-1.05409435100026,"weak"
"KGZ","Kyrgyz Republic",-1.0449742741055,"weak"
"GTM","Guatemala",-1.03476669390996,"weak"
"SLE","Sierra Leone",-1.0211802356773,"weak"
"COM","Comoros",-1.00340566370222,"weak"
"TMP","Timor-Leste",-1.00264823767874,"weak"
"LAO","Lao PDR",-0.973498543103536,"weak"
"HND","Honduras",-0.941510332955254,"weak"
"ECU","Ecuador",-0.912343116270171,"weak"
"PRY","Paraguay",-0.877576450506846,"weak"
"TGO","Togo",-0.871326247851054,"weak"
"AZE","Azerbaijan",-0.868666715092129,"weak"
"IRN","Iran, Islamic Rep.",-0.8573533627722,"weak"
"PNG","Papua New Guinea",-0.857312036885156,"weak"
"BGD","Bangladesh",-0.855745792388916,"weak"
"RUS","Russian Federation",-0.85480922460556,"weak"
"CUB","Cuba",-0.85263088842233,"weak"
"SYR","Syrian Arab Republic",-0.852022623022397,"weak"
"DJI","Djibouti",-0.839926309055752,"weak"
"KEN","Kenya",-0.834965998927752,"weak"
"PAK","Pakistan",-0.828368021382226,"weak"
"KAZ","Kazakhstan",-0.825682229465909,"weak"
"DZA","Algeria",-0.818958554002974,"weak"
"UKR","Ukraine",-0.811459028058582,"weak"
"BOL","Bolivia",-0.799409273597929,"weak"
"NIU","Niue",-0.764229881763458,"weak"
"MRT","Mauritania",-0.753042694595125,"weak"
"ETH","Ethiopia",-0.740628078579903,"weak"
"NIC","Nicaragua",-0.711163027418984,"weak"
"MOZ","Mozambique",-0.69201168914636,"weak"
"IDN","Indonesia",-0.637014471822315,"weak"
"SLV","El Salvador",-0.631911256247097,"weak"
"NPL","Nepal",-0.614644778711307,"weak"
"ALB","Albania",-0.603433809346623,"weak"
"DOM","Dominican Republic",-0.603373992774222,"weak"
"NER","Niger",-0.601487421327167,"weak"
"SRB","Serbia",-0.598485294729471,"weak"
"PER","Peru",-0.598424111803373,"weak"
"RWA","Rwanda",-0.5886924850444,"weak"
"SWZ","Swaziland",-0.578633051779535,"weak"
"LBN","Lebanon",-0.561713648339113,"weak"
