"assessid","stockid","stocklong","country","region","area","common_name","sci_name","year","bbmsy"
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1913,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1914,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1915,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1916,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1917,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1918,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1919,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1920,3.15
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1921,3.16
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus",1922,3.16
