"","stockid","stocklong","country","region","area","fishery_type","taxa_group","kingdom","phylum","class","order","family","genus","species","comm_name","yr1","yr2","n","overfished","collapsed"
"1","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Acadian redfish",1913,2014,102,TRUE,TRUE
"2","ACMACKSARG","Argentine chub mackerel Southern Argentina","Argentina","South America","Southern Argentina","Forage Fish","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","Scomber colias","Argentine chub mackerel",1990,2015,26,FALSE,FALSE
"3","ALBAIO","Albacore tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","albacore tuna",1950,2012,63,FALSE,FALSE
"4","ALBAMED","Albacore tuna Mediterranean","multinational","Mediterranean-Black Sea","Mediterranean Sea","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","albacore tuna",1965,2011,47,FALSE,FALSE
"5","ALBANATL","Albacore tuna North Atlantic","multinational","Atlantic Ocean","Northern Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Albacore tuna",1930,2011,82,FALSE,FALSE
"6","ALBANPAC","Albacore tuna North Pacific","Multinational","US West Coast","North Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Albacore tuna",1966,2012,47,FALSE,FALSE
"7","ALBASATL","Albacore tuna South Atlantic","multinational","Atlantic Ocean","South Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","albacore tuna",1956,2012,57,FALSE,FALSE
"8","ALBASPAC","Albacore tuna South Pacific Ocean","multinational","Pacific Ocean","South Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Albacore tuna",1960,2013,54,FALSE,FALSE
"9","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes quadrituberculatus","Alaska plaice",1975,2015,41,FALSE,FALSE
"10","ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja parmifera","Alaska skate",1950,2015,66,FALSE,FALSE
"11","AMPL5YZ","American Plaice NAFO-5YZ","USA","US East Coast","Gulf of Maine / Georges Bank","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","American Plaice",1980,2014,35,TRUE,FALSE
"12","ANCHMEDGSA6","Anchovy Northern Spain","multinational","Mediterranean-Black Sea","Northern Spain","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Anchovy",1945,2015,71,TRUE,FALSE
"13","ANCHOBAYB","Anchovy ICES VIII","multinational","European Union","Bay of Biscay","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Anchovy",1987,2013,27,FALSE,FALSE
"14","ANGLVIIIc-IXa","Black bellied angler VIIIc-IXa","multinational","European Union","VIIIc-IXa","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa","Black bellied angler",1980,2016,37,TRUE,FALSE
"15","APOLLNSJ","Walleye pollock Sea of Japan North","Japan","Russia Japan","Sea of Japan North","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Theragra","Theragra chalcogramma","Walleye pollock",1980,2013,34,TRUE,TRUE
"16","APOLLPJPN","Walleye pollock Pacific Coast of Japan","Japan","Russia Japan","Pacific Coast of Japan","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Theragra","Theragra chalcogramma","Walleye pollock",1981,2013,33,FALSE,FALSE
"17","ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Arrowtooth flounder",1976,2015,40,FALSE,FALSE
"18","ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Arrowtooth flounder",1961,2015,55,FALSE,FALSE
"19","ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA","US West Coast","Pacific Coast","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Arrowtooth flounder",1914,2015,102,FALSE,FALSE
